AddressId,StreetAddress,Latitude,Longitude,Status
0,805 ARTHUR ST,-95.3770205583,29.7584129942,L
1,832 ARTHUR ST,-95.3770833616,29.7584870474,L
2,840 ARTHUR ST,-95.3770864162,29.7587851959,L
3,830 ARTHUR ST,-95.3770825979,29.7584125103,L
4,841 ARTHUR ST,-95.3770266061,29.7590033281,L
5,842 ARTHUR ST,-95.3770871799,29.758859733,L
6,843 ARTHUR ST,-95.3770269421,29.7590361245,L
7,837 ARTHUR ST,-95.3770259341,29.758937735499998,L
8,844 ARTHUR ST,-95.3770879435,29.7589342701,L
9,845 ARTHUR ST,-95.3770272781,29.7590689208,L
10,846 ARTHUR ST,-95.3770887072,29.7590088072,L
11,847 ARTHUR ST,-95.3770276141,29.759101717100002,L
12,848 ARTHUR ST,-95.3770894709,29.7590833443,L
13,849 ARTHUR ST,-95.3770279501,29.7591345134,L
14,850 ARTHUR ST,-95.3770902345,29.7591578814,L
15,852 ARTHUR ST,-95.3770909982,29.7592324185,L
16,902 ARTHUR ST,-95.3770859975,29.7581932746,L
17,903 ARTHUR ST,-95.3770241295,29.7581872716,L
18,904 ARTHUR ST,-95.3770873265,29.7581534146,L
19,905 ARTHUR ST,-95.3770256062,29.7581429826,L
20,906 ARTHUR ST,-95.3770886555,29.7581135545,L
21,907 ARTHUR ST,-95.3770270828,29.7580986936,L
22,908 ARTHUR ST,-95.3770899845,29.7580736944,L
23,910 ARTHUR ST,-95.3770913134,29.7580338343,L
24,916 ARTHUR ST,-95.3770953004,29.7579142541,L
25,918 ARTHUR ST,-95.3770966293,29.757874394,L
26,400 BURTON ST,-95.377710452,29.7602516781,L
27,602 BURTON ST,-95.3776490855,29.7599830047,L
28,702 BURTON ST,-95.3776492894,29.7599020489,L
29,800 BURTON ST,-95.3776494892,29.7598227123,L
30,825 BURTON ST,-95.377711585,29.7598017926,L
31,827 BURTON ST,-95.3777115891,29.7598001636,L
32,1015 CHAMBERS ST,-95.3778568062,29.7595004222,L
33,1101 CHAMBERS ST,-95.3783040071,29.7594925725,L
34,1102 CHAMBERS ST,-95.3779256541,29.7595533587,L
35,1104 CHAMBERS ST,-95.3780660545,29.7595508943,L
36,1103 CHAMBERS ST,-95.3783144071,29.7594923899,L
37,1108 CHAMBERS ST,-95.3783468552,29.7595459652,L
38,1110 CHAMBERS ST,-95.3785528417,29.7595446678,L
39,1113 CHAMBERS ST,-95.3787317217,29.7594914194,L
40,1114 CHAMBERS ST,-95.378838486,29.7595460832,L
41,1115 CHAMBERS ST,-95.3789102493,29.7594923039,L
42,1116 CHAMBERS ST,-95.3789813081,29.7595467906,L
43,1117 CHAMBERS ST,-95.3790887769,29.7594931881,L
44,1120 CHAMBERS ST,-95.3792669525,29.7595482051,L
45,1202 CHAMBERS ST,-95.379543197,29.7595488551,L
46,1204 CHAMBERS ST,-95.3796124864,29.7595489103,L
47,1206 CHAMBERS ST,-95.3796817757,29.7595489654,L
48,1208 CHAMBERS ST,-95.379751065,29.7595490206,L
49,1210 CHAMBERS ST,-95.3798203544,29.7595490756,L
50,1211 CHAMBERS ST,-95.3798204109,29.7594949418,L
51,1214 CHAMBERS ST,-95.3799589331,29.7595491857,L
52,1215 CHAMBERS ST,-95.3799589895,29.7594950518,L
53,1216 CHAMBERS ST,-95.3800282224,29.7595492407,L
54,1217 CHAMBERS ST,-95.3800282788,29.7594951068,L
55,1218 CHAMBERS ST,-95.3800975118,29.7595492956,L
56,1219 CHAMBERS ST,-95.3800975681,29.7594951617,L
57,1220 CHAMBERS ST,-95.3801668011,29.7595493505,L
58,1302 CHAMBERS ST,-95.380446497,29.7595481186,L
59,1304 CHAMBERS ST,-95.3805190941,29.7595475771,L
60,1305 CHAMBERS ST,-95.3805185636,29.7594934452,L
61,1307 CHAMBERS ST,-95.3805911607,29.759492903599998,L
62,1309 CHAMBERS ST,-95.3806637577,29.7594923619,L
63,1310 CHAMBERS ST,-95.3807368854,29.7595459522,L
64,1311 CHAMBERS ST,-95.3807363548,29.7594918203,L
65,1313 CHAMBERS ST,-95.3808089519,29.7594912786,L
66,1315 CHAMBERS ST,-95.3808815489,29.7594907368,L
67,1318 CHAMBERS ST,-95.3810272737,29.7595437851,L
68,701 CROSBY ST,-95.376239354,29.7600108286,L
69,705 CROSBY ST,-95.3762380964,29.7598756212,L
70,706 CROSBY ST,-95.3762977539,29.7595742478,L
71,702 CROSBY ST,-95.3762979797,29.7596095525,L
72,707 CROSBY ST,-95.3762374676,29.7598080175,L
73,709 CROSBY ST,-95.3762360508,29.759627507,L
74,712 CROSBY ST,-95.3762974151,29.7595212908,L
75,718 CROSBY ST,-95.3762970763,29.7594683338,L
76,720 CROSBY ST,-95.3762969633,29.7594506815,L
77,722 CROSBY ST,-95.3762968504,29.7594330291,L
78,800 CROSBY ST,-95.3762967081,29.7592528498,L
79,802 CROSBY ST,-95.3762971844,29.7591539774,L
80,803 CROSBY ST,-95.3762353806,29.7591043136,L
81,804 CROSBY ST,-95.3762976607,29.7590551049,L
82,805 CROSBY ST,-95.3762360952,29.7589560049,L
83,806 CROSBY ST,-95.3762981371,29.7589562324,L
84,807 CROSBY ST,-95.3762368098,29.7588076961,L
85,839 ARTHUR ST,-95.3770262701,29.7589705318,L
86,808 CROSBY ST,-95.3762986134,29.7588573599,L
87,809 CROSBY ST,-95.3762375243,29.7586593874,L
88,810 CROSBY ST,-95.3762990897,29.7587584875,L
89,901 CROSBY ST,-95.3762380671,29.7584790273,L
90,812 CROSBY ST,-95.376299566,29.758659615,L
91,902 CROSBY ST,-95.3763002112,29.7581938074,L
92,836 ARTHUR ST,-95.3770848889,29.7586361217,L
93,838 ARTHUR ST,-95.3770856525,29.7587106588,L
94,903 CROSBY ST,-95.3762381468,29.7584126554,L
95,905 CROSBY ST,-95.3762381949,29.7582322532,L
96,815 CROSBY ST,-95.376235132,29.7591558897,L
97,906 CROSBY ST,-95.3763001598,29.758116979,L
98,904 CROSBY ST,-95.3763001855,29.7581553932,L
99,907 CROSBY ST,-95.3762381582,29.7581773757,L
100,909 CROSBY ST,-95.3762381216,29.7581224983,L
101,910 CROSBY ST,-95.3763001084,29.7580401506,L
102,1008 CROSBY ST,-95.376070015,29.7576320681,L
103,1010 CROSBY ST,-95.376070003,29.7576217113,L
104,1012 CROSBY ST,-95.376069991,29.7576113544,L
105,1011 CROSBY ST,-95.3760079614,29.7576217659,L
106,1013 CROSBY ST,-95.3760079494,29.7576114091,L
107,1210 CURTIN STREET,-95.3798250369,29.7610975055,L
108,1212 CURTIN STREET,-95.3798936982,29.7610979717,L
109,1014 CROSBY ST,-95.376069979,29.7576009976,L
110,1016 CROSBY ST,-95.3760699671,29.7575906407,L
111,1214 CURTIN STREET,-95.3799623595,29.7610984379,L
112,1017 CROSBY ST,-95.3760079255,29.7575906954,L
113,1215 CURTIN STREET,-95.3799628423,29.7610443056,L
114,1216 CURTIN STREET,-95.3800310209,29.761098904,L
115,1218 CURTIN STREET,-95.3800996822,29.7610993701,L
